lsmaccx,lsmaccy,lsmaccz,lsmangx,lsmangy,lsmangz,a0,a1,a2,f1,f2,timestamp
0,0,0,0,0,0,19540,28903,35128,1,0,9185
0,0,0,0,0,0,32215,38297,37065,0,1,9190
0,0,0,0,0,0,21909,30967,35896,0,0,9195
0,0,0,0,0,0,28134,36328,36856,1,1,9207
0,0,0,0,0,0,23333,31223,36056,0,0,9210
0,0,0,0,0,0,19748,29175,35320,1,0,9215
0,0,0,0,0,0,17828,27718,34696,0,0,9220
0,0,0,0,0,0,30343,36072,36360,1,1,9225
0,0,0,0,0,0,22197,30743,35848,0,0,9230
0,0,0,0,0,0,22005,30519,36152,0,0,9235
0,0,0,0,0,0,30711,36216,36200,1,1,9240
0,0,0,0,0,0,22357,30855,35864,0,0,9245
0,0,0,0,0,0,19876,29047,35272,0,0,9250
0,0,0,0,0,0,30999,36969,36552,1,1,9255
0,0,0,0,0,0,22229,30935,35944,0,0,9260
0,0,0,0,0,0,19412,28823,35144,1,0,9265
0,0,0,0,0,0,35320,36328,36488,0,1,9270
0,0,0,0,0,0,19988,29079,35016,0,0,9275
0,0,0,0,0,0,18452,27958,34632,1,0,9280
0,0,0,0,0,0,31351,36056,35368,0,0,9285
0,0,0,0,0,0,25286,32551,35448,0,1,9290
0,0,0,0,0,0,32391,37033,37225,1,1,9302
0,0,0,0,0,0,22901,30135,35400,1,0,9305
0,0,0,0,0,0,19524,28630,34952,0,0,9310
0,0,0,0,0,0,18756,28086,34856,0,0,9315
0,0,0,0,0,0,30711,37257,36680,1,1,9320
0,0,0,0,0,0,22037,31079,35960,0,0,9325
0,0,0,0,0,0,19428,29015,35320,0,0,9330
0,0,0,0,0,0,33528,37401,36856,1,1,9335
0,0,0,0,0,0,21125,30327,35608,0,0,9340
0,0,0,0,0,0,18852,28438,35048,0,0,9345
0,0,0,0,0,0,30679,37081,35960,1,0,9350
0,0,0,0,0,0,24229,32535,36648,0,1,9355
0,0,0,0,0,0,20292,29671,35656,1,0,9360
0,0,0,0,0,0,18116,27990,34856,0,0,9365
0,0,0,0,0,0,30471,36216,36424,0,1,9370
